code,en,de,fr,es,it,pl,nl,ro,ru,cs,hu,pt,el,sv,bg,ca,da,sk,fi,ar,lt,tr,sl,lv,hv,et,lb,ur,eu,ga,mt,gl
BEL,,,35.76,,1.28,,53.85,,,,,,,,,,,,,4.04,,1.42,,,,,,,,,,
DNK,1.23,1.17 ,,,,,,,,,,,,,,,93.56,,,0.56,,,,,,,,0.38,,,,
DEU,2.5,87.41,,,,2.4,,,3.43,,,,,,,,,,,,,2.52,,,,,,,,,,
GRC,1.45,0.49,,,,,,,0.88,,,,96.25,,0.61,,,,,,,,,,,,,,,,,
ESP,,,1.76,82.62,,,,3.89,,,,,,,,9.08 ,,,,,,,,,,,,,,,,3.91
FRA,,1.82,93.2,1.02,,,,,,,,1.74,,,,,,,,1.98,,,,,,,,,,,,
IRL,94.04,,,0.42,,1.63,,,,,,,,,,,,,,,0.75,,,,,,,,,2.06,,
ITA,1.67,,0.49,,96.61,,,,,,,,,,,,,,,0.97,,,,,,,,,0.45,,,
LUX,3.79,,19.36,,4.62,,,,,,,22.77,,,,,,,,,,,,,,,41.38,,,,,
NLD,0.71,1.83,,0.68,,,93.72,,,,,0.65,,,,,,,,,,,,,,,,,,,,
PRT,1.44,,1.18,,,,,,,1.79,,96.26,,,,,,,,,,,,,,2.26,,,,,,
GBR,87.24,,1.85,,,1.36,,,,,,,,,,,,,,,,,,,,,,0.92,,,,
AUT,,90.57,,,,,,,0.65,,,,,,,,,0.78,,,,2.13,,,2.96,,,,,,,
SWE,0.86,,,1.61,,,,,,,0.49,,,93.71,,,0.48,,,,,,,,,,,,,,,
FIN,,,,,,,,,0.54,,,,,2.94,,0.95,,,95.49,,,,,,,1.63,,,,,,
CYP,1.16,,,,,,,1.76,1.15,,,,95.93,,,,,,,0.58,,,,,,,,,,,,
CZE,0.53 ,0.25,,,,0.3,,,,97.66,,,,,,,,1.26,,,,,,,,,,,,,,
EST,0.43,,,,,,,0.62,19.91,,,,,,,,0.43,,,,,,,,,78.57,,,,,,
HUN,,,,,,,,0.51,,,98.21,,,,,,0.3,,,,,,,,,,,,0.49,,,
LVA,,,,,,0.3,0.3,,25.3,,,,,,,,,,,,0.29,,,73.84,,,,,,,,
LTU,,,,,,2.83,,,4.84,0.35,,,,,,,,,,,91.3,,,,,,,,,,,
MLT,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.22,
POL,1.9,0.32,,,,93.23,,,2.49,,,,,,,,,,,,,,,0.39,,,,,,,,
SVK,,,,,,,,,,0.27,10.36,,,,0.31,,,86.97,,,,,0.35,,,,,,,,,
SVN,,,,,,,,,,,,,,,,,,,,,,,92.91,,4.08,,,,,,,
BGR,,,0.37,,,,,,,,,,,,95.82,,,,,,,2.74,,,0.26,,,,,,,
ROU,,0.27,,,,0.34,,93.74,,,6.44,,,,,,,,,,,,,,,,,,,,0.29,
