code,en,de,fr,es,it,pl,nl,ro,ru,cs,hu,pt,el,sv,bg,ca,da,sk,fi,ar,lt,tr,sl,lv,hv,et,lb,ga,mt,gl
BEL,33.59,14.23,63.15,,,,60.59,,,,,,,,,,,,,5.23,,,,,,,,,,
DNK,54.33,35.43,7.97,,,,,,,,,,,9.2,,,96.92,,,,,,,,,,,,,
DEU,37.6,94.62,9.21,,3,,,,8.42,,,,,,,,,,,,,,,,,,,,,
GRC,33.91,5.75,5.25,,3.95,,,,,,,,98.07,,,,,,,,,,,,,,,,,
ESP,12.32,,7.93,93.71,,,,,,,,,,,,16.66,,,,,,,,,,,,,,4.77
FRA,27.09,6.63,96.85,7.63,,,,,,,,,,,,,,,,3.54,,,,,,,,,,
IRL,97.27,2.95,11.46,3.71,,,,,,,,,,,,,,,,,,,,,,,,14.77,,
ITA,15.68,2.84,8.84,8.55,97.31 ,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,37.2,46.41,72.36,,,,,,,,,24.2,,,,,,,,,,,,,,,52.55,,,
NLD,41.62,29.68,16.53,4.31,,,97.25,,,,,,,,,,,,,,,,,,,,,,,
PRT,13.92,,11.91,9.34,,,,,,,,96.55,,,,,,,,,,,,,,2.26,,,,
GBR,95.51,6.1,16.55,5.27,3.51,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,39.62,94.74,6.89,3.2,5.68,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,59.59,15.85,7.72,,,,,,,,,,,96.82,,,4.6,,,,,,,,,,,,,
FIN,52.02,15.67,4.58,,,,,,,,,,,42.62,,,,,98.12,,,,,,,,,,,
CYP,43.18,2.91,2.89,,,,,,4.1,,,,98.3,,,,,,,,,,,,,,,,,
CZE,10.89,7.01,,,,,,,7.88,98.69,,,,,,,,7.4,,,,,,,,,,,,
EST,24.58,10.8,,,,,,,43.79,,,,,,,,,,15.84,,,,,,,83.77 ,,,,
HUN,11.47,10.7,,,,,,1.81,3.87,,98.72,,,,,,,,,,,,,,,,,,,
LVA,19.67,12.32,,,,,,,61.4,,,,,,,,,,,,2.24,,,86.07,,,,,,
LTU,16.86,7.35,,,,10.15,,,45.45,,,,,,,,,,,,94.55,,,,,,,,,
MLT,63.48,,9.71,1.82,37.51,,,,,,,,,,,,,,,,,,,,,,,,99.22,
POL,17.28,12.91,2.02,,,93.97,,,19.04,,,,,,,,,,,,,,,,,,,,,
SVK,8.95,,,,,,,,10.6,24.22,13.15,,,,,,,95.68,,,,,,,,,,,,
SVN,35.38,26.47,,,5.81,,,,,,,,,,,,,,,,,,96.11,,37.08,,,,,
BGR,9.04,2.48,,,,,,,10.93,,,,,,98.5,,,,,,,3.25,,,,,,,,
ROU,13.27,,7.18,,3.89,,,96.2,,,7.06,,,,,,,,,,,,,,,,,,,
