code,en,de,fr,es,it,pl,nl,ro,ru,cs,hu,pt,el,sv,bg,ca,da,sk,fi,ar,lt,tr,sl,lv,hv,et,lb,ur,eu,ga,mt,gl,cy
BEL,,,35.56,,1.7,,54.76,,,,,,,,,,,,,3.19,,1.91,,,,,,,,,,,
DNK,1.06,0.66,,,,0.51,,,,,,,,0.71,,,97.43,,,,,,,,,,,,,,,,
DEU,2.10,93.30,,,,0.73,,,1.93,,,,,,,,,,,,,0.69,,,,,,,,,,,
GRC,0.34,,0.28,,,,,,0.53,,,,99.16,,,,,,,,,,,,0.34,,,,,,,,
ESP,,,0.61,85.22,,,,,,,,,,,,7.21,,,,,,,,,,,,,1.15,,,5.36,
FRA,1.81,1.53,93.58,1.28,,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,
IRL,89.48,,,,,,0.61,,,,,,,,,,,,,0.75,,,,,,,,,,1.86,,,0.26
ITA,1.33,,,,97.52,,,,0.28,,,,,,,,,,,0.26,,,,,,,,,1.14,,,,
LUX,,3.1,10.32,,8.25,,,,,,,5.44,,,,,,,,,,,,,,,71.04,,,,,,
NLD,1.71,1.57,0.96,,,,94.12,,,,,,,,,,,,,,,,,,0.23,,,,,,,,
PRT,,,0.89,,,,,,,1.87,,92.69,,,,,1.21,,,,,,,,,0.94,,,,,,,
GBR,94.30,0.61,,,0.50,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82
AUT,,95.40,,,,,,,,,,,,,,0.71,,0.55,,,,,0.93,,0.60,,,,,,,,
SWE,1.59,1.55,,,,0.71,,,,,,,,92.75,,,,,2.36,,,,,,,,,,,,,,
FIN,0.82,0,,,,,,,,,,,,2.75,,,,,96.54,,,,0.21,,,,,,,,,,
CYP,0.67,,0,,,,,0.64,,,,,98.69,,,,,,,1.34,,,,,,,,,,,,,
CZE,,0.85,,,,0.80,,,0.28,96.94,,,,,,,,1.40,,,,,,,,,,,,,,,
EST,,,,,,,,,18.09,,,,,,,,,,0.79,0.56,,,,0.53,,80.98,,,,,,,
HUN,,0.54,,,,,,,0.27,,98.64,,,,0.27,,,,,0.21,,,,,,,,,,,,,
LVA,,,,,,1.41,,,22.82,,,,,,0.61,,,,,,0.74,,,73.81,,,,,,,,,
LTU,,,,,,3.20,,,4.33,,,,,,,,,,0.34,,92.66,,,0.36,,,,,,,,,
MLT,3.47,,,,0,,,,,,,,,,,,,,,,,,,,,,0.4,,,,97.59,,
POL,19.85,13.28,2.63,,,95.15,,,13.92,,,,,,,,,,,,,,,,,,,,,,,,
SVK,,0.71,,,,,,,,0.53,12.18,,,,,,,84.34,,,,,0.75,,,,,,,,,,
SVN,0.43,0.44,,,0.97,,,,,,,,,,,,,,,,,,93.59,,4.14,,,,,,,,
BGR,,0,,,,0.19,,,0.23,,,,,,95.79,,,,,,,3.18,,,,,,,,,,,
ROU,,,,,,,,90.51,,,10.50,0.26,,,,,,,,,,0.28,,,,,,,,,0.24,,
